,p.geomean,stat.mean,p.val,q.val,set.size,exp1,dir
hsa00750.Vitamin.B6.metabolism1,NA,NA,NA,NA,6,NA,less
hsa00072.Synthesis.and.degradation.of.ketone.bodies1,NA,NA,NA,NA,9,NA,less
NA.1,NA,NA,NA,NA,0,NA,less
NA..110,NA,NA,NA,NA,0,NA,less
NA..210,NA,NA,NA,NA,0,NA,less
NA..310,NA,NA,NA,NA,0,NA,less
NA..410,NA,NA,NA,NA,0,NA,less
NA..510,NA,NA,NA,NA,0,NA,less
NA..610,NA,NA,NA,NA,0,NA,less
NA..710,NA,NA,NA,NA,0,NA,less
NA..85,NA,NA,NA,NA,0,NA,less
NA..91,NA,NA,NA,NA,0,NA,less
NA..101,NA,NA,NA,NA,0,NA,less
NA..111,NA,NA,NA,NA,0,NA,less
NA..121,NA,NA,NA,NA,0,NA,less
NA..131,NA,NA,NA,NA,0,NA,less
NA..141,NA,NA,NA,NA,0,NA,less
NA..151,NA,NA,NA,NA,0,NA,less
NA..161,NA,NA,NA,NA,0,NA,less
NA..171,NA,NA,NA,NA,0,NA,less
NA..181,NA,NA,NA,NA,0,NA,less
NA..191,NA,NA,NA,NA,0,NA,less
NA..201,NA,NA,NA,NA,0,NA,less
NA..211,NA,NA,NA,NA,0,NA,less
NA..221,NA,NA,NA,NA,0,NA,less
NA..231,NA,NA,NA,NA,0,NA,less
NA..241,NA,NA,NA,NA,0,NA,less
NA..251,NA,NA,NA,NA,0,NA,less
NA..261,NA,NA,NA,NA,0,NA,less
NA..271,NA,NA,NA,NA,0,NA,less
NA..281,NA,NA,NA,NA,0,NA,less
NA..291,NA,NA,NA,NA,0,NA,less
NA..301,NA,NA,NA,NA,0,NA,less
NA..311,NA,NA,NA,NA,0,NA,less
NA..321,NA,NA,NA,NA,0,NA,less
NA..331,NA,NA,NA,NA,0,NA,less
NA..341,NA,NA,NA,NA,0,NA,less
NA..351,NA,NA,NA,NA,0,NA,less
NA..361,NA,NA,NA,NA,0,NA,less
NA..371,NA,NA,NA,NA,0,NA,less
NA..381,NA,NA,NA,NA,0,NA,less
NA..391,NA,NA,NA,NA,0,NA,less
NA..401,NA,NA,NA,NA,0,NA,less
NA..411,NA,NA,NA,NA,0,NA,less
NA..421,NA,NA,NA,NA,0,NA,less
NA..431,NA,NA,NA,NA,0,NA,less
NA..441,NA,NA,NA,NA,0,NA,less
NA..451,NA,NA,NA,NA,0,NA,less
NA..461,NA,NA,NA,NA,0,NA,less
NA..471,NA,NA,NA,NA,0,NA,less
NA..481,NA,NA,NA,NA,0,NA,less
NA..491,NA,NA,NA,NA,0,NA,less
NA..501,NA,NA,NA,NA,0,NA,less
NA..511,NA,NA,NA,NA,0,NA,less
NA..521,NA,NA,NA,NA,0,NA,less
NA..531,NA,NA,NA,NA,0,NA,less
NA..541,NA,NA,NA,NA,0,NA,less
NA..551,NA,NA,NA,NA,0,NA,less
NA..561,NA,NA,NA,NA,0,NA,less
NA..571,NA,NA,NA,NA,0,NA,less
NA..581,NA,NA,NA,NA,0,NA,less
NA..591,NA,NA,NA,NA,0,NA,less
NA..601,NA,NA,NA,NA,0,NA,less
NA..611,NA,NA,NA,NA,0,NA,less
NA..621,NA,NA,NA,NA,0,NA,less
NA..631,NA,NA,NA,NA,0,NA,less
NA..641,NA,NA,NA,NA,0,NA,less
NA..651,NA,NA,NA,NA,0,NA,less
NA..661,NA,NA,NA,NA,0,NA,less
NA..671,NA,NA,NA,NA,0,NA,less
NA..681,NA,NA,NA,NA,0,NA,less
NA..691,NA,NA,NA,NA,0,NA,less
NA..701,NA,NA,NA,NA,0,NA,less
NA..711,NA,NA,NA,NA,0,NA,less
NA..721,NA,NA,NA,NA,0,NA,less
NA..731,NA,NA,NA,NA,0,NA,less
NA..741,NA,NA,NA,NA,0,NA,less
NA..751,NA,NA,NA,NA,0,NA,less
NA..761,NA,NA,NA,NA,0,NA,less
NA..771,NA,NA,NA,NA,0,NA,less
NA..781,NA,NA,NA,NA,0,NA,less
NA..791,NA,NA,NA,NA,0,NA,less
NA..801,NA,NA,NA,NA,0,NA,less
NA..811,NA,NA,NA,NA,0,NA,less
NA..821,NA,NA,NA,NA,0,NA,less
NA..831,NA,NA,NA,NA,0,NA,less
NA..841,NA,NA,NA,NA,0,NA,less
