Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
GABA receptor activation	1.33E00	6.67E-02	2.000	GNG8,KCNJ10,KCNJ15,KCNJ2	
Caspase activation via Death Receptors in the presence of ligand	1.3E00	1.25E-01	NaN	TNFRSF10A,TNFSF10	
Signal regulatory protein family interactions	1.3E00	1.25E-01	NaN	SFTPA1,SFTPA2	
Extrinsic Prothrombin Activation Pathway	1.3E00	1.25E-01	NaN	FGA,FGB	
Agranulocyte Adhesion and Diapedesis	1.29E00	4.29E-02	NaN	CD34,CDH5,CLDN11,CXCL10,CXCL8,CXCL9,IL18,MMP8,MYL9	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.29E00	3.87E-02	1.265	ADAM19,CAMK4,CCND1,COL17A1,CREB5,FCGR1A,FCGR2A,FCGR3A/FCGR3B,HCST,IL18,MMP8,SPP1	
Cell surface interactions at the vascular wall	1.28E00	4.27E-02	1.667	CEACAM1,CEACAM3,CEACAM6,CEACAM8,FCER1G,JAM2,PF4V1,SDC3,TNFRSF10A	
IL-8 Signaling	1.27E00	4.25E-02	1.134	AZU1,CCND1,CXCL8,DEFA1 (includes others),GNA15,LIMK2,MPO,MYL9,NCF1	
Opioid Signalling	1.27E00	5.56E-02	1.342	CAMK4,GNA15,GNG8,POMC,PRKAR1B	
Breast Cancer Regulation by Stathmin1	1.26E00	3.36E-02	0.894	APLNR,C3AR1,CAMK4,CCND1,CDK1,CNR2,CREB5,E2F1,E2F8,FFAR2,FOXM1,FPR1,GPR183,GPR68,P2RY13,P2RY14,P2RY6,PRKAR1B,PTGDR2,S1PR2	
Germ layer formation at gastrulation	1.25E00	1.18E-01	NaN	LEF1,TCF7	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.25E00	1.18E-01	NaN	INPP5F,MINPP1	
Chronic Myeloid Leukemia Signaling	1.25E00	3.93E-02	0.302	BIRC5,CCND1,E2F1,E2F8,FOXM1,LEF1,PLCL1,PLK1,SPP1,TCF7,TNFSF10	
Semaphorin interactions	1.24E00	6.25E-02	0.000	DPYSL3,LIMK2,MYL9,SEMA7A	
Antigen Presentation Pathway	1.23E00	7.69E-02	NaN	HLA-A,PSMB9,TAP1	
Metabolism of Angiotensinogen to Angiotensins	1.21E00	1.11E-01	NaN	CTSD,CTSG	
Docosahexaenoic Acid (DHA) Signaling	1.2E00	3.97E-02	0.000	ALB,CCND1,CREB5,KCNMA1,PLB1,PLCL1,PRKAR1B,PSENEN,SERPINF1,TNFAIP2	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.2E00	5.32E-02	2.236	ARPC1B,FCGR1A,FCGR2A,FCGR3A/FCGR3B,NCF1	
RHOA Signaling	1.2E00	4.84E-02	2.236	ARPC1B,CIT,EPHA1,LIMK2,MYL9,WASF1	
Lactose synthesis	1.18E00	3.33E-01	NaN	SLC2A1	
Serine Biosynthesis	1.18E00	3.33E-01	NaN	PSAT1	
Ascorbate Recycling (Cytosolic)	1.18E00	3.33E-01	NaN	GLRX	
RHO GTPases Activate ROCKs	1.17E00	1.05E-01	NaN	LIMK2,MYL9	
RAR Activation	1.16E00	3.48E-02	0.775	ALDH1A1,CLCF1,CREB5,CXCL8,DHRS9,GNA15,IL18,MMP8,PDE7B,PDE9A,PRKAR1B,SMARCD3,SOCS3,TNFSF10,TNFSF13B	
Cell Cycle: G1/S Checkpoint Regulation	1.16E00	5.88E-02	-1.000	CCND1,CDC25A,E2F1,E2F8	
Pancreatic Adenocarcinoma Signaling	1.14E00	4.69E-02	NaN	BIRC5,CCND1,E2F1,E2F8,RAD51,STAT1	
Ovarian Cancer Signaling	1.14E00	4.37E-02	NaN	CCND1,E2F1,EDN1,LEF1,PRKAR1B,RAD51,TCF7	
Assembly and cell surface presentation of NMDA receptors	1.13E00	6.98E-02	NaN	DLG4,GRIN3A,LIN7A	
Interleukin-12 family signaling	1.13E00	1E-01	NaN	IL23A,STAT1	
Class I peroxisomal membrane protein import	1.13E00	1E-01	NaN	ABCD2,PXMP2	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.13E00	5.71E-02	NaN	IL7R,SOCS1,SOCS3,STAT1	
Synaptic Long Term Potentiation	1.09E00	4.55E-02	1.342	CAMK4,CREB5,GNA15,GRIN3A,PLCL1,PRKAR1B	
Growth Hormone Signaling	1.09E00	5.56E-02	NaN	IGF2,SOCS1,SOCS3,STAT1	
Interleukin-7 signaling	1.09E00	9.52E-02	NaN	IL7R,SOCS1	
Nucleotide salvage	1.09E00	9.52E-02	NaN	CDA,TK1	
Neurovascular Coupling Signaling Pathway	1.08E00	3.88E-02	3.000	CACNG2,ENTPD7,GRIN3A,KCNJ10,KCNJ15,KCNJ2,KCNMA1,PLB1,PRKAR1B	
G-Protein Coupled Receptor Signaling	1.08E00	3.12E-02	0.853	APLNR,C3AR1,CAMK4,CARD10,CCND1,CNR2,CREB5,FFAR2,FPR1,GNA15,GPR183,GPR68,MYL9,P2RY13,P2RY14,P2RY6,PDE7B,PDE9A,PRKAR1B,PTGDR2,RAP1GAP,S1PR2	
Potassium Channels	1.07E00	4.85E-02	2.236	GNG8,KCNJ10,KCNJ15,KCNJ2,KCNMA1	
Adrenergic Receptor Signaling Pathway (Enhanced)	1.06E00	4E-02	-0.707	CACNG2,CLCF1,CXCL8,IL18,PLCL1,PRKAR1B,TNFSF10,TNFSF13B	
Heme Biosynthesis from Uroporphyrinogen-III I	1.06E00	2.5E-01	NaN	FECH	
Glutathione Redox Reactions II	1.06E00	2.5E-01	NaN	GLRX	
Rapoport-Luebering Glycolytic Shunt	1.06E00	2.5E-01	NaN	MINPP1	
Cellular hexose transport	1.05E00	9.09E-02	NaN	SLC2A1,SLC45A3	
Interconversion of nucleotide di- and triphosphates	1.05E00	9.09E-02	NaN	GLRX,NME4	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.05E00	9.09E-02	NaN	INPP5F,MINPP1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.04E00	6.38E-02	NaN	CREB5,CXCL10,CXCL8	
Plasma lipoprotein assembly, remodeling, and clearance	1.02E00	5.26E-02	-1.000	ALB,APOA4,CETP,LPL	
Vitamin-C Transport	1.02E00	8.7E-02	NaN	GLRX,SLC2A1	
Retinol Biosynthesis	1.02E00	6.25E-02	NaN	DHRS9,LPL,PLB1	
Leptin Signaling in Obesity	1.01E00	5.19E-02	NaN	PLCL1,POMC,PRKAR1B,SOCS3	
ISGylation Signaling Pathway	1E00	4.63E-02	2.236	BIRC5,CCND1,IRF1,STAT1,UBE2L6	
Signaling by VEGF	1E00	4.63E-02	1.342	CDH5,HSPB1,NCF1,NCF4,WASF1	
PFKFB4 Signaling Pathway	1E00	6.12E-02	NaN	CREB5,GPI,PRKAR1B	
VDR/RXR Activation	9.93E-01	5.13E-02	NaN	CAMP,CXCL10,IGFBP5,SPP1	
AMPK Signaling	9.93E-01	3.72E-02	1.134	CCNA2,CCND1,CREB5,GNA15,PFKFB3,PRKAR1B,RAB39A,SLC2A1,SMARCD3	
Regulation of RUNX1 Expression and Activity	9.9E-01	8.33E-02	NaN	CCND1,H19	
IL-22 Signaling	9.9E-01	8.33E-02	NaN	SOCS3,STAT1	
G alpha (q) signalling events	9.8E-01	4E-02	1.134	EDN1,FFAR2,GNA15,GNG8,GPR68,P2RY6,SAA1	
Thyroid Cancer Signaling	9.78E-01	5.06E-02	-2.000	CCND1,CXCL8,LEF1,TCF7	
Opioid Signaling Pathway	9.71E-01	3.57E-02	0.378	CACNG2,CAMK4,CLTCL1,CREB5,GNA15,GRIN3A,LEF1,POMC,PRKAR1B,TCF7	
Intestinal absorption	9.65E-01	2E-01	NaN	SLC2A5	
Protein Citrullination	9.65E-01	2E-01	NaN	PADI2	
Superpathway of Serine and Glycine Biosynthesis I	9.65E-01	2E-01	NaN	PSAT1	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	9.65E-01	2E-01	NaN	MTHFD2L	
Tetrapyrrole Biosynthesis II	9.65E-01	2E-01	NaN	ALAS1	
Myo-inositol Biosynthesis	9.65E-01	2E-01	NaN	INPP5F	
Arginine Degradation I (Arginase Pathway)	9.65E-01	2E-01	NaN	ARG1	
Glucose metabolism	9.63E-01	5E-02	2.000	ALDOA,GPI,PFKFB3,PKM	
Transcriptional regulation by RUNX2	9.61E-01	5.88E-02	NaN	CCND1,CDK1,HEY2	
Neuroinflammation Signaling Pathway	9.48E-01	3.45E-02	1.897	BIRC5,CREB5,CRP,CXCL10,CXCL8,GRIN3A,HLA-A,IL18,NCF1,PSENEN,STAT1	
C-type lectin receptors (CLRs)	9.46E-01	4.14E-02	2.000	CLEC4D,CLEC4E,FCER1G,MUC3A,PSMB9,PSME2	
BEX2 Signaling Pathway	9.34E-01	4.88E-02	-1.000	CCND1,LEF1,SPP1,TCF7	
Interleukin-20 family signaling	9.32E-01	7.69E-02	NaN	SOCS3,STAT1	
IL-17A Signaling in Gastric Cells	9.32E-01	7.69E-02	NaN	CXCL10,CXCL8	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	9.32E-01	7.69E-02	NaN	SOCS1,STAT1	
Antioxidant Action of Vitamin C	9.28E-01	4.39E-02	NaN	GLRX,PLB1,PLCL1,SLC2A1,SLC2A5	
Huntington's Disease Signaling	9.27E-01	3.5E-02	NaN	CASP5,CLTCL1,CREB5,CTSD,DLG4,GNA15,HSPA1A/HSPA1B,HSPA6,PSMB9,PSME2	
Regulation of Apoptosis	9.24E-01	5.66E-02	NaN	OPA1,PSMB9,PSME2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	9.24E-01	3.87E-02	0.000	ALPL,CDC25A,INPP5F,MINPP1,NOCT,PLPP6,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	9.24E-01	3.87E-02	0.000	ALPL,CDC25A,INPP5F,MINPP1,NOCT,PLPP6,SOCS3	
Signaling by NOTCH4	9.2E-01	4.82E-02	1.000	HEY2,PSENEN,PSMB9,PSME2	
Molecular Mechanisms of Cancer	9.15E-01	2.92E-02	0.200	APLNR,C3AR1,CCND1,CDC25A,CHEK1,CNR2,E2F1,E2F8,EDN1,FFAR2,FPR1,GNA15,GPR183,GPR68,IL7R,LEF1,MMP8,P2RY13,P2RY14,P2RY6,PRKAR1B,PSENEN,PTGDR2,S1PR2,TCF7	
Transcriptional regulation of white adipocyte differentiation	9.06E-01	4.76E-02	0.000	ADIRF,KLF5,LPL,SMARCD3	
Role of Cytokines in Mediating Communication between Immune Cells	9.06E-01	5.56E-02	NaN	CXCL8,IL18,IL23A	
Endocannabinoid Neuronal Synapse Pathway	9.05E-01	4.03E-02	-0.816	CACNG2,CNR2,GNA15,GRIN3A,PLCL1,PRKAR1B	
BMAL1:CLOCK,NPAS2 activates circadian gene expression	9.04E-01	7.41E-02	NaN	NOCT,SMARCD3	
Integrin signaling	9.04E-01	7.41E-02	NaN	FGA,FGB	
Gluconeogenesis I	9.04E-01	7.41E-02	NaN	ALDOA,GPI	
Apelin Liver Signaling Pathway	9.04E-01	7.41E-02	NaN	APLNR,EDN1	
Integrin cell surface interactions	8.93E-01	4.71E-02	1.000	FGA,FGB,JAM2,SPP1	
BAG2 Signaling Pathway	8.93E-01	4.71E-02	NaN	HSPA1A/HSPA1B,HSPA6,PSMB9,PSME2	
Fructose metabolism	8.9E-01	1.67E-01	NaN	ALDH1A1	
GDP-mannose Biosynthesis	8.9E-01	1.67E-01	NaN	GPI	
Calcium Signaling	8.88E-01	3.64E-02	0.000	ATP2B1,CACNG2,CAMK4,CREB5,GRIN3A,MYL9,PRKAR1B,TNNT3	
Sirtuin Signaling Pathway	8.85E-01	3.42E-02	0.707	AGTRAP,CXCL8,E2F1,GADD45G,H1-5,H3C3,MAP1LC3A,PFKFB3,SLC2A1,TSPO	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	8.82E-01	4.24E-02	0.447	CACNG2,FFAR2,GNA15,PLCL1,PRKAR1B	
Platelet homeostasis	8.8E-01	4.65E-02	0.000	ATP2B1,GNG8,KCNMA1,PDE9A	
SUMOylation of intracellular receptors	8.78E-01	7.14E-02	NaN	NR3C2,THRB	
Corticotropin Releasing Hormone Signaling	8.76E-01	3.95E-02	0.816	CACNG2,CAMK4,CREB5,KRT1,POMC,PRKAR1B	
Factors Promoting Cardiogenesis in Vertebrates	8.66E-01	3.92E-02	-1.633	CCND1,CREB5,GJA5,LEF1,PLCL1,TCF7	
Hepatic Cholestasis	8.64E-01	3.59E-02	0.000	ABCB11,CETP,CLCF1,CXCL8,IL18,PRKAR1B,TNFSF10,TNFSF13B	
p38 MAPK Signaling	8.6E-01	4.17E-02	2.236	CREB5,H3C3,HSPB1,IL18,STAT1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	8.49E-01	4.13E-02	1.000	CTSG,HLA-A,PRKAR1B,PRSS57,PRTN3	
MSP-RON Signaling in Macrophages Pathway	8.49E-01	4.13E-02	1.342	ARG1,CREB5,SOCS1,SOCS3,STAT1	
Triacylglycerol Degradation	8.39E-01	5.17E-02	NaN	LPL,PLB1,TNFAIP6	
Activation of kainate receptors upon glutamate binding	8.3E-01	6.67E-02	NaN	DLG4,GNG8	
Nucleotide catabolism	8.3E-01	6.67E-02	NaN	ENTPD7,TYMP	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	8.3E-01	6.67E-02	NaN	POMC,RETN	
3-phosphoinositide Degradation	8.29E-01	3.65E-02	0.000	ALPL,CDC25A,INPP5F,MINPP1,NOCT,PLPP6,SOCS3	
Immunogenic Cell Death Signaling Pathway	8.29E-01	4.44E-02	2.000	CXCL10,FPR1,HSPA1A/HSPA1B,HSPA6	
Erythrocytes take up oxygen and release carbon dioxide	8.28E-01	1.43E-01	NaN	RHAG	
Urea Cycle	8.28E-01	1.43E-01	NaN	ARG1	
Arginine Degradation VI (Arginase 2 Pathway)	8.28E-01	1.43E-01	NaN	ARG1	
Signaling by ERBB4	8.24E-01	5.08E-02	NaN	DLG4,PSENEN,SPARC	
Metabolism of water-soluble vitamins and cofactors	8.24E-01	5.08E-02	NaN	CYB5R3,SLC2A1,TCN1	
Degradation of beta-catenin by the destruction complex	8.16E-01	4.4E-02	NaN	LEF1,PSMB9,PSME2,TCF7	
Apelin Adipocyte Signaling Pathway	8.16E-01	4.4E-02	NaN	APLNR,GPX1,NCF1,PRKAR1B	
CREB Signaling in Neurons	8.09E-01	2.96E-02	0.243	APLNR,C3AR1,CACNG2,CAMK4,CNR2,CREB5,FFAR2,FPR1,GNA15,GPR183,GPR68,P2RY13,P2RY14,P2RY6,PLCL1,PRKAR1B,PTGDR2,S1PR2	
Primary Immunodeficiency Signaling	8.08E-01	5E-02	NaN	IL7R,TAP1,TNFRSF13B	
Retinoic acid Mediated Apoptosis Signaling	8.08E-01	5E-02	NaN	IRF1,TNFRSF10A,TNFSF10	
GADD45 Signaling	8.08E-01	5E-02	NaN	CCND1,CDK1,GADD45G	
Asparagine N-linked glycosylation	8.07E-01	6.45E-02	NaN	ASGR1,FUT8	
Leukocyte Extravasation Signaling	8.05E-01	3.59E-02	1.342	CDH5,CLDN11,JAM2,MMP8,NCF1,NCF4,RAP1GAP	
Cell junction organization	8.04E-01	4.35E-02	0.000	CD151,CDH5,CLDN11,COL17A1	
MAPK6/MAPK4 signaling	8.04E-01	4.35E-02	NaN	CDK1,HSPB1,PSMB9,PSME2	
Collagen degradation	7.93E-01	4.92E-02	NaN	COL17A1,ELANE,MMP8	
Semaphorin Signaling in Neurons	7.93E-01	4.92E-02	NaN	DPYSL3,LIMK2,SEMA7A	
Regulation of TP53 Activity through Phosphorylation	7.92E-01	4.3E-02	2.000	CCNA2,CHEK1,EXO1,TPX2	
D-myo-inositol-5-phosphate Metabolism	7.89E-01	3.55E-02	0.000	ALPL,CDC25A,INPP5F,MINPP1,NOCT,PLPP6,SOCS3	
ROBO SLIT Signaling Pathway	7.88E-01	3.94E-02	-0.447	ARPC1B,ENAH,MYL9,NELL2,PRKAR1B	
Glioma Signaling	7.88E-01	3.94E-02	NaN	CAMK4,CCND1,E2F1,E2F8,IGF2	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	7.85E-01	6.25E-02	NaN	CACNG2,DLG4	
Thrombin signalling through proteinase activated receptors (PARs)	7.85E-01	6.25E-02	NaN	GNA15,GNG8	
RIPK1-mediated regulated necrosis	7.85E-01	6.25E-02	NaN	TNFRSF10A,TNFSF10	
Dopamine Degradation	7.85E-01	6.25E-02	NaN	ALDH1A1,SULT1A2	
Inhibition of ARE-Mediated mRNA Degradation Pathway	7.77E-01	3.68E-02	2.236	POMC,PRKAR1B,PSMB9,PSME2,TNFSF10,TNFSF13B	
Histidine catabolism	7.75E-01	1.25E-01	NaN	CARNS1	
Histidine Degradation III	7.75E-01	1.25E-01	NaN	MTHFD2L	
Sphingomyelin Metabolism	7.75E-01	1.25E-01	NaN	SMPD1	
Hepatic Fibrosis Signaling Pathway	7.69E-01	3.07E-02	-1.155	BAMBI,CACNG2,CCND1,CREB5,CXCL8,EDN1,IL18,LEF1,MYL9,NCF1,PRKAR1B,SPP1,TCF7	
Endocannabinoid Developing Neuron Pathway	7.68E-01	3.88E-02	-1.000	CCND1,CNR2,CREB5,PRKAR1B,RAP1GAP	
Protein Ubiquitination Pathway	7.68E-01	3.3E-02	NaN	HLA-A,HSPA1A/HSPA1B,HSPA6,HSPB1,PSMB9,PSME2,TAP1,UBE2L6,UCHL1	
Signal amplification	7.65E-01	6.06E-02	NaN	GNA15,GNG8	
Cardiac Hypertrophy Signaling (Enhanced)	7.51E-01	2.94E-02	-1.155	CACNG2,CLCF1,CXCL8,EDN1,FGFRL1,GNA15,HSPB1,IL18,IL7R,INPP5F,PDE7B,PDE9A,PLCL1,PRKAR1B,TNFSF10,TNFSF13B	
Mitochondrial biogenesis	7.5E-01	4.69E-02	NaN	ALAS1,CAMK4,SMARCD3	
Signaling by NOTCH2	7.44E-01	5.88E-02	NaN	NEURL1,PSENEN	
Pyridoxal 5'-phosphate Salvage Pathway	7.37E-01	4.62E-02	NaN	CDK1,LIMK2,PLK1	
Urea cycle	7.29E-01	1.11E-01	NaN	ARG1	
Interleukin-9 signaling	7.29E-01	1.11E-01	NaN	STAT1	
Prednisone ADME	7.29E-01	1.11E-01	NaN	ALB	
Sucrose Degradation V (Mammalian)	7.29E-01	1.11E-01	NaN	ALDOA	
Folate Transformations I	7.29E-01	1.11E-01	NaN	MTHFD2L	
Androgen Signaling	7.27E-01	3.55E-02	NaN	CACNG2,CCND1,GNA15,H3C3,PRKAR1B,TGFB1I1	
Metabolism of steroid hormones	7.25E-01	5.71E-02	NaN	POMC,TSPO	
Coagulation System	7.25E-01	5.71E-02	NaN	FGA,FGB	
Ethanol Degradation II	7.25E-01	5.71E-02	NaN	ALDH1A1,DHRS9	
RHO GTPases Activate WASPs and WAVEs	7.06E-01	5.56E-02	NaN	ARPC1B,WASF1	
IL-9 Signaling	7.06E-01	5.56E-02	NaN	SOCS3,STAT1	
Clathrin-mediated Endocytosis Signaling	7.02E-01	3.35E-02	NaN	ALB,APOA4,ARPC1B,CLTCL1,LYZ,ORM1,S100A8	
Role of Tissue Factor in Cancer	7.02E-01	3.35E-02	0.378	BIRC5,CXCL8,FGA,FGB,GNA15,LIMK2,ZEB1	
3-phosphoinositide Biosynthesis	7.02E-01	3.35E-02	0.000	ALPL,CDC25A,INPP5F,MINPP1,NOCT,PLPP6,SOCS3	
TNFR2 non-canonical NF-kB pathway	6.97E-01	4.41E-02	NaN	PSMB9,PSME2,TNFSF13B	
Glioblastoma Multiforme Signaling	6.96E-01	3.47E-02	-2.000	CCND1,E2F1,E2F8,IGF2,LEF1,PLCL1	
Phase I - Functionalization of compounds	6.95E-01	3.92E-02	2.000	ALDH1A1,CYB5R3,CYP2C8,POMC	
Aldosterone Signaling in Epithelial Cells	6.89E-01	3.45E-02	NaN	HSPA1A/HSPA1B,HSPA6,HSPB1,KCNMA1,NR3C2,PLCL1	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	6.88E-01	5.41E-02	NaN	LMNB1,PSME2	
Noradrenaline and Adrenaline Degradation	6.88E-01	5.41E-02	NaN	ALDH1A1,DHRS9	
Calcium Transport I	6.88E-01	1E-01	NaN	ATP2B1	
Citrulline Biosynthesis	6.88E-01	1E-01	NaN	ARG1	
Phospholipases	6.85E-01	4.35E-02	NaN	LPL,PLB1,PLCL1	
Superpathway of Melatonin Degradation	6.85E-01	4.35E-02	NaN	CYP2C8,MPO,SULT1A2	
Integration of energy metabolism	6.85E-01	3.88E-02	NaN	GNA15,GNG8,PRKAR1B,SLC2A1	
Neuropathic Pain Signaling in Dorsal Horn Neurons	6.85E-01	3.88E-02	0.000	CAMK4,GRIN3A,PLCL1,PRKAR1B	
Adipogenesis pathway	6.79E-01	3.6E-02	0.447	FGFRL1,KLF5,LPL,NOCT,TCF7	
Th2 Pathway	6.79E-01	3.6E-02	1.342	GFI1,HLA-A,PSENEN,PTGDR2,SOCS3	
Fanconi Anemia Pathway	6.71E-01	5.26E-02	NaN	EME1,EME2	
Notch Signaling	6.71E-01	5.26E-02	NaN	HEY2,PSENEN	
Pulmonary Fibrosis Idiopathic Signaling Pathway	6.69E-01	3.05E-02	-1.265	BIRC5,CCND1,COL17A1,EDN1,FGFRL1,LEF1,MMP8,SFTPA2,SFTPC,TCF7	
Wound Healing Signaling Pathway	6.66E-01	3.17E-02	1.414	CLCF1,COL17A1,CXCL8,IL18,MMP8,STAT1,TNFSF10,TNFSF13B	
Erythropoietin Signaling Pathway	6.59E-01	3.37E-02	-0.816	CCND1,CLCF1,CXCL8,IL18,TNFSF10,TNFSF13B	
IGF-1 Signaling	6.56E-01	3.77E-02	NaN	IGFBP5,PRKAR1B,SOCS1,SOCS3	
Regulation of TP53 Expression and Degradation	6.54E-01	5.13E-02	NaN	CCNA2,CDK1	
Erythrocytes take up carbon dioxide and release oxygen	6.51E-01	9.09E-02	NaN	RHAG	
Signaling by Leptin	6.51E-01	9.09E-02	NaN	SOCS3	
Metallothioneins bind metals	6.51E-01	9.09E-02	NaN	MT1X	
Glycogen Degradation II	6.51E-01	9.09E-02	NaN	TYMP	
Protein Kinase A Signaling	6.44E-01	2.92E-02	-0.333	CDC25A,CREB5,H1-5,H3C3,LEF1,MYL9,PDE7B,PDE9A,PLCL1,PRKAR1B,PTPRU,TCF7	
Transcriptional Regulation by VENTX	6.38E-01	5E-02	NaN	CCND1,LEF1	
Pyrimidine Ribonucleotides Interconversion	6.38E-01	5E-02	NaN	ENTPD7,NME4	
Regulation of RUNX2 expression and activity	6.38E-01	4.11E-02	NaN	PSMB9,PSME2,STAT1	
Extra-nuclear estrogen signaling	6.38E-01	4.11E-02	NaN	CCND1,GNG8,HSPB1	
Serotonin Degradation	6.38E-01	4.11E-02	NaN	ALDH1A1,DHRS9,SULT1A2	
LPS/IL-1 Mediated Inhibition of RXR Function	6.36E-01	3.11E-02	NaN	ABCB11,ALAS1,ALDH1A1,CETP,CYP2C8,GSTM5,IL18,SULT1A2	
DAG and IP3 signaling	6.23E-01	4.88E-02	NaN	CAMK4,PRKAR1B	
Activation of gene expression by SREBF (SREBP)	6.23E-01	4.88E-02	NaN	MVK,SMARCD3	
Presynaptic depolarization and calcium channel opening	6.18E-01	8.33E-02	NaN	CACNG2	
Peptide hormone biosynthesis	6.18E-01	8.33E-02	NaN	POMC	
γ-glutamyl Cycle	6.18E-01	8.33E-02	NaN	GGT7	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	6.15E-01	4E-02	NaN	GNA15,PLCL1,PRKAR1B	
O-linked glycosylation	6.1E-01	3.6E-02	2.000	B4GALT5,GALNT14,MUC3A,ST3GAL4	
Intrinsic Prothrombin Activation Pathway	6.07E-01	4.76E-02	NaN	FGA,FGB	
Hypoxia Signaling in the Cardiovascular System	6.05E-01	3.95E-02	NaN	CREB5,EDN1,UBE2L6	
Binding and Uptake of Ligands by Scavenger Receptors	6.02E-01	3.57E-02	1.000	ALB,MSR1,SAA1,SPARC	
NAFLD Signaling Pathway	5.93E-01	3.1E-02	1.134	CLCF1,CXCL8,IL18,SOCS1,SOCS3,TNFSF10,TNFSF13B	
Dilated Cardiomyopathy Signaling Pathway	5.93E-01	3.33E-02	0.000	CACNG2,CAMK4,MYL9,PRKAR1B,TNNT3	
Defensins	5.93E-01	4.65E-02	NaN	DEFA1 (includes others),DEFA4	
Vasopressin regulates renal water homeostasis via Aquaporins	5.93E-01	4.65E-02	NaN	GNG8,PRKAR1B	
Smooth Muscle Contraction	5.93E-01	4.65E-02	NaN	DYSF,MYL9	
B Cell Activating Factor Signaling	5.93E-01	4.65E-02	NaN	TNFRSF13B,TNFSF13B	
Retinoate Biosynthesis I	5.93E-01	4.65E-02	NaN	ALDH1A1,DHRS9	
Pyrimidine Ribonucleotides De Novo Biosynthesis	5.93E-01	4.65E-02	NaN	ENTPD7,NME4	
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	5.88E-01	7.69E-02	NaN	EPHA1	
Passive transport by Aquaporins	5.88E-01	7.69E-02	NaN	AQP9	
Mitotic Telophase/Cytokinesis	5.88E-01	7.69E-02	NaN	PLK1	
Azathioprine ADME	5.88E-01	7.69E-02	NaN	SLC28A3	
Glycogen Degradation III	5.88E-01	7.69E-02	NaN	TYMP	
UDP-N-acetyl-D-galactosamine Biosynthesis II	5.88E-01	7.69E-02	NaN	GPI	
Signaling by NOTCH1	5.84E-01	3.85E-02	NaN	HEY2,NEURL1,PSENEN	
Costimulation by the CD28 family	5.84E-01	3.85E-02	NaN	CD274,PDCD1LG2,TRAC	
Elastic fibre formation	5.79E-01	4.55E-02	NaN	FBLN5,LTBP3	
TAK1-dependent IKK and NF-kappa-B activation	5.79E-01	4.55E-02	NaN	S100A12,SAA1	
Regulation of mRNA stability by proteins that bind AU-rich elements	5.79E-01	4.55E-02	NaN	HSPA1A/HSPA1B,HSPB1	
Signaling by Retinoic Acid	5.79E-01	4.55E-02	NaN	ALDH1A1,DHRS9	
BER (Base Excision Repair) Pathway	5.79E-01	4.55E-02	NaN	E2F1,NTHL1	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	5.74E-01	3.8E-02	NaN	S100A12,SAA1,UBE2L6	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	5.74E-01	3.8E-02	NaN	CXCL10,CXCL8,PLB1	
Type II Diabetes Mellitus Signaling	5.72E-01	3.27E-02	NaN	CACNG2,PKM,SMPD1,SOCS1,SOCS3	
Signaling by Rho Family GTPases	5.71E-01	2.97E-02	1.633	ARPC1B,CDH5,CIT,GNA15,LIMK2,MYL9,NCF1,WASF1	
Signaling by ROBO receptors	5.68E-01	3.45E-02	0.000	ENAH,NELL2,PSMB9,PSME2	
Prostate Cancer Signaling	5.68E-01	3.45E-02	NaN	CCND1,CREB5,E2F1,LEF1	
Bladder Cancer Signaling	5.68E-01	3.45E-02	NaN	CCND1,CXCL8,E2F1,MMP8	
Arachidonic acid metabolism	5.65E-01	4.44E-02	NaN	CYP2C8,GPX1	
GPER1 signaling	5.65E-01	4.44E-02	NaN	GNG8,PRKAR1B	
Coronavirus Replication Pathway	5.65E-01	4.44E-02	NaN	IFITM2,IFITM3	
Glycosaminoglycan metabolism	5.64E-01	3.75E-02	NaN	B4GALT5,SDC3,ST3GAL4	
DNA Double-Strand Break Repair by Homologous Recombination	5.61E-01	7.14E-02	NaN	RAD51	
Acyl-CoA Hydrolysis	5.61E-01	7.14E-02	NaN	ACOT7	
Leukotriene Biosynthesis	5.61E-01	7.14E-02	NaN	GGT7	
Mevalonate Pathway I	5.61E-01	7.14E-02	NaN	MVK	
